Glassy carbon of AlfaAesar		
Data was measured at SPring8 Bl03 and properly corrected with a glassy carbon from NIST SRM 3600		
q	i	s
0.192333	7.9610095	0
0.19324	7.8609943	0
0.19414601	7.771194	0
0.195053	7.6782651	0
0.195959	7.5880861	0
0.19686601	7.4934893	0
0.197772	7.4029183	0
0.198679	7.3054705	0
0.19958501	7.2217121	0
0.20049199	7.1363125	0
0.201398	7.0525327	0
0.202305	6.9613132	0
0.20321099	6.8782191	0
0.204118	6.7957644	0
0.205024	6.708786	0
0.20593099	6.6288857	0
0.206837	6.5512524	0
0.207744	6.4687505	0
0.20864999	6.3926578	0
0.209557	6.3102164	0
0.210463	6.2340865	0
0.21136899	6.1557026	0
0.212276	6.0816979	0
0.213182	6.0045424	0
0.21408901	5.9393482	0
0.214995	5.8652544	0
0.215901	5.7922354	0
0.21680801	5.7205157	0
0.217714	5.6519184	0
0.21862	5.5838699	0
0.21952701	5.5134702	0
0.220433	5.4410973	0
0.221339	5.3736424	0
0.22224499	5.3115225	0
0.223152	5.2434406	0
0.224058	5.174294	0
0.22496399	5.1182642	0
0.22587	5.0531578	0
0.226777	4.9899192	0
0.22768299	4.9317064	0
0.228589	4.8715768	0
0.229495	4.8081436	0
0.23040099	4.7539887	0
0.231308	4.6981745	0
0.232214	4.6388922	0
0.23311999	4.5834012	0
0.234026	4.5319133	0
0.23493201	4.4727225	0
0.235838	4.420248	0
0.236744	4.3670392	0
0.23765101	4.3148441	0
0.238557	4.2608571	0
0.239463	4.2134776	0
0.24036901	4.1625533	0
0.241275	4.1127729	0
0.242181	4.0619192	0
0.24308699	4.0124717	0
0.243993	3.9651563	0
0.244899	3.9207892	0
0.245805	3.8720126	0
0.246711	3.8275545	0
0.24761701	3.7790396	0
0.248523	3.7343574	0
0.249429	3.6967375	0
0.25033501	3.6496742	0
0.251241	3.6076109	0
0.25214699	3.5668244	0
0.253052	3.5195487	0
0.25395799	3.4811924	0
0.25486401	3.4412405	0
0.25577	3.3984127	0
0.25667599	3.3622246	0
0.25758201	3.3237059	0
0.258488	3.2822249	0
0.25939301	3.2497096	0
0.260299	3.2097924	0
0.26120499	3.1734757	0
0.26211101	3.1345046	0
0.263017	3.1009037	0
0.26392201	3.0613146	0
0.264828	3.0278511	0
0.26573399	2.9921513	0
0.26663899	2.9611979	0
0.26754501	2.928349	0
0.26845101	2.8934371	0
0.269357	2.8637614	0
0.270262	2.8286712	0
0.27116799	2.7985857	0
0.27207401	2.7675557	0
0.27297899	2.7350349	0
0.27388501	2.7080147	0
0.27478999	2.6782439	0
0.27569601	2.6474724	0
0.276602	2.6182139	0
0.27750701	2.5900266	0
0.278413	2.5604806	0
0.279318	2.5342565	0
0.280224	2.5075138	0
0.281129	2.4797928	0
0.28203499	2.4529276	0
0.28294	2.4262099	0
0.28384599	2.4025018	0
0.284751	2.3746395	0
0.28565699	2.3475072	0
0.286562	2.3226292	0
0.287467	2.3000104	0
0.28837299	2.2741663	0
0.289278	2.2505326	0
0.29018399	2.2249579	0
0.291089	2.198076	0
0.29199401	2.1802874	0
0.2929	2.1571534	0
0.293805	2.1363175	0
0.29471001	2.1133585	0
0.295616	2.0930769	0
0.29652101	2.0696402	0
0.29742599	2.0494945	0
0.29833099	2.0301952	0
0.29923701	2.0068016	0
0.30014199	1.9883027	0
0.301047	1.9669945	0
0.301952	1.9459743	0
0.302858	1.9261661	0
0.303763	1.9094228	0
0.30466801	1.8903247	0
0.30557299	1.8730358	0
0.30647799	1.8512635	0
0.307383	1.8327385	0
0.30828801	1.8181499	0
0.30919299	1.7973466	0
0.31009901	1.7795454	0
0.31100401	1.7636957	0
0.31190899	1.746085	0
0.312814	1.7291178	0
0.313719	1.7126353	0
0.31462401	1.6971354	0
0.31552899	1.6813055	0
0.316434	1.6651667	0
0.317339	1.6501403	0
0.31824401	1.634055	0
0.319148	1.6179559	0
0.32005301	1.6028134	0
0.32095799	1.5857642	0
0.321863	1.5728024	0
0.322768	1.5574795	0
0.32367301	1.5429707	0
0.32457799	1.5273451	0
0.32548201	1.5137223	0
0.32638699	1.5003008	0
0.327292	1.4857531	0
0.328197	1.4742159	0
0.32910201	1.4604559	0
0.330006	1.4471151	0
0.33091101	1.4329276	0
0.33181599	1.42054	0
0.33272099	1.4100575	0
0.33362499	1.3948698	0
0.33453	1.3828665	0
0.335435	1.370572	0
0.336339	1.358309	0
0.337244	1.3464879	0
0.338148	1.3348135	0
0.339053	1.3231475	0
0.33995801	1.3108761	0
0.34086201	1.3009311	0
0.34176701	1.2872622	0
0.34267101	1.2760246	0
0.34357601	1.2653947	0
0.34448001	1.2551481	0
0.34538499	1.24238	0
0.34628901	1.2339047	0
0.34719399	1.2232997	0
0.34809801	1.2119983	0
0.349002	1.2011924	0
0.34990701	1.1904114	0
0.350811	1.1809399	0
0.35171601	1.1707132	0
0.35262001	1.1619562	0
0.353524	1.1504568	0
0.35442799	1.1433002	0
0.355333	1.1321956	0
0.35623699	1.1235914	0
0.35714099	1.1149988	0
0.358046	1.1037948	0
0.35894999	1.0961082	0
0.35985401	1.0858134	0
0.36075801	1.0785081	0
0.361662	1.0713328	0
0.36256701	1.0607446	0
0.363471	1.0526757	0
0.364375	1.0439438	0
0.36527899	1.0348347	0
0.36618301	1.0272151	0
0.36708701	1.0179271	0
0.367991	1.0101063	0
0.36889499	1.0019914	0
0.36979899	0.99533135	0
0.37070301	0.98706454	0
0.37160701	0.97795439	0
0.372511	0.96934915	0
0.37341499	0.9623906	0
0.37431899	0.9575386	0
0.37522301	0.94847775	0
0.376127	0.94143325	0
0.377031	0.93385565	0
0.37793499	0.92679238	0
0.37883899	0.92156011	0
0.379742	0.91250241	0
0.38064599	0.90530711	0
0.38155001	0.89766872	0
0.38245401	0.89069659	0
0.383358	0.88588023	0
0.38426101	0.87605041	0
0.38516501	0.87133145	0
0.386069	0.86507475	0
0.38697201	0.85890704	0
0.387876	0.85271323	0
0.38878	0.84495121	0
0.38968301	0.83896476	0
0.390587	0.83418709	0
0.391491	0.82663465	0
0.39239401	0.82034856	0
0.393298	0.81604755	0
0.39420101	0.80926186	0
0.395105	0.80467695	0
0.39600801	0.79639858	0
0.39691201	0.791866	0
0.39781499	0.78621477	0
0.39871901	0.77998734	0
0.39962199	0.77432251	0
0.40052599	0.76865345	0
0.401429	0.76425076	0
0.40233201	0.75861728	0
0.403236	0.75258261	0
0.40413901	0.74773693	0
0.40504199	0.74345058	0
0.40594599	0.73735201	0
0.406849	0.73109424	0
0.40775201	0.72640771	0
0.40865499	0.72202504	0
0.40955901	0.7157222	0
0.41046199	0.71037048	0
0.411365	0.70695567	0
0.41226801	0.70246398	0
0.41317099	0.69696981	0
0.41407499	0.69230109	0
0.414978	0.68862331	0
0.41588101	0.68195391	0
0.41678399	0.67829609	0
0.417687	0.67388189	0
0.41859001	0.66876173	0
0.41949299	0.66461051	0
0.420396	0.66073161	0
0.42129901	0.65556431	0
0.42220199	0.64941436	0
0.423105	0.64656836	0
0.42400801	0.64060599	0
0.42491099	0.63750851	0
0.425814	0.6337595	0
0.426716	0.62985444	0
0.42761901	0.62399364	0
0.42852199	0.61937106	0
0.429425	0.61633325	0
0.43032801	0.61213911	0
0.43123001	0.60939568	0
0.43213299	0.6034323	0
0.433036	0.60143781	0
0.43393901	0.59640044	0
0.43484101	0.59308404	0
0.43574399	0.5901835	0
0.43664601	0.58657485	0
0.437549	0.58274311	0
0.43845201	0.57917112	0
0.439354	0.57583797	0
0.44025701	0.5722639	0
0.44115901	0.56692481	0
0.44206199	0.56383473	0
0.44296399	0.56002283	0
0.443867	0.55700392	0
0.444769	0.55259711	0
0.44567201	0.54872864	0
0.446574	0.54643679	0
0.44747701	0.54302192	0
0.44837901	0.53992659	0
0.44928101	0.53635037	0
0.45018399	0.53404272	0
0.45108601	0.52983493	0
0.45198801	0.52540195	0
0.45289001	0.52314347	0
0.45379299	0.5206368	0
